Model,Release Date,Release Year,Model ID,Company_ID,Model,Release Date,Company,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),PixArea(px2),Width (mm),Length (mm),Area(mm2),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Acer Iconia Tab A510 Olympic Edition,1/06/2012,2012,2731,3,Acer Iconia Tab A510 Olympic Edition,41061,Acer,0.499984741,0.499999488,0.649840327,0.604316547,0.479674797,0.380952381,0.182733256,0.688949523,0.517622951,0.356616085,0.031109686,0.097017322,0.132543103,0.264512872
Acer Iconia Tab A700 32GB,1/06/2012,2012,2732,3,Acer Iconia Tab A700 32GB,41061,Acer,0.499984741,0.499999488,0.649840327,0.604316547,0.739837398,0.579365079,0.428635953,0.691132333,0.516393443,0.356896205,0.030788967,0.096674732,0.130818966,0.452801615
Acer Iconia Tab A210 WiFi 16GB,1/07/2012,2013,2780,3,Acer Iconia Tab A210 WiFi 16GB,41091,Acer,0.499984741,0.249999232,0.599817517,0.604316547,0.479674797,0.380952381,0.182733256,0.691678035,0.516393443,0.357178002,0.04041052,0.111363296,0.140431034,0.264512872
Acer Iconia Tab A211 3G 8GB,1/07/2012,2013,2781,3,Acer Iconia Tab A211 3G 8GB,41091,Acer,0.499984741,0.125838031,0.599817517,0.604316547,0.479674797,0.380952381,0.182733256,0.691678035,0.516393443,0.357178002,0.04041052,0.111363296,0.140431034,0.264512872
Acer Iconia Tab A701 64GB,1/07/2012,2013,2782,3,Acer Iconia Tab A701 64GB,41091,Acer,0.499984741,1,0.649840327,0.604316547,0.739837398,0.579365079,0.428635953,0.691132333,0.516393443,0.356896205,0.030788967,0.096674732,0.130818966,0.452801615
Acer Liquid Glow E330,1/08/2012,2013,2829,3,Acer Liquid Glow E330,41122,Acer,0.249977111,0.016777517,0.499771896,0.143884892,0.154471545,0.380952381,0.058846303,0.141609823,0.278688525,0.039465033,0.033996151,0.007237222,0.014008621,0.524230187
Acer CloudMobile S500,1/09/2012,2013,2866,3,Acer CloudMobile S500,41153,Acer,0.499984741,0.125838031,0.749885948,0.18705036,0.25203252,0.619047619,0.156020131,0.161800819,0.319672131,0.051723213,0.024374599,0.008264994,0.013362069,0.751640586
Acer Liquid Gallant Duo AK330,1/09/2012,2013,2867,3,Acer Liquid Gallant Duo AK330,41153,Acer,0.499984741,0.062079576,0.499771896,0.18705036,0.178861789,0.46031746,0.082333204,0.16207367,0.327868852,0.053138908,0.024310455,0.00856476,0.018318966,0.535840485
Acer Liquid Gallant Duo E350,1/09/2012,2013,2868,3,Acer Liquid Gallant Duo E350,41153,Acer,0.499984741,0.062079576,0.499771896,0.18705036,0.178861789,0.46031746,0.082333204,0.16207367,0.327868852,0.053138908,0.024310455,0.00856476,0.018318966,0.535840485
Acer Iconia Tab A110 8GB,1/10/2012,2013,2951,3,Acer Iconia Tab A110 8GB,41183,Acer,0.499984741,0.125838031,0.599817517,0.381294964,0.375609756,0.281746032,0.105826558,0.508867667,0.317622951,0.16162805,0.033996151,0.050146672,0.07112069,0.315497224
Acer Liquid Z110,1/12/2012,2013,3107,3,Acer Liquid Z110,41244,Acer,0.249977111,0.062079576,0.499771896,0.129496403,0.089430894,0.222222222,0.019873532,0.150068213,0.25,0.037517053,0.039769083,0.008372053,0.010775862,0.30338213
Acer Liquid Z110 Duo,1/12/2012,2013,3108,3,Acer Liquid Z110 Duo,41244,Acer,0.249977111,0.062079576,0.499771896,0.129496403,0.089430894,0.222222222,0.019873532,0.150068213,0.25,0.037517053,0.039769083,0.008372053,0.010775862,0.30338213
Acer s10,1/10/2001,2002,188,NA,NA,NA,Acer ,0.00778222,0.000130058,0.016051319,0.107913669,0.024390244,0.063492063,0.001548587,0.192360164,0.290983607,0.055973654,0.04425914,0.016273045,0.017241379,0.064866229
Acer s50,1/08/2002,2003,232,NA,NA,NA,Acer ,0.00778222,6.45E-05,0.016051319,0.100719424,0.089430894,0.142857143,0.012775842,0.195088677,0.299180328,0.058366694,0.04425914,0.017043873,0.018318966,0.250630994
Acer s60,1/08/2002,2003,233,NA,NA,NA,Acer ,0.00778222,6.45E-05,0.016051319,0.100719424,0.089430894,0.142857143,0.012775842,0.195088677,0.299180328,0.058366694,0.04425914,0.017043873,0.018318966,0.250630994
Ainol mini NOVO5 Basic,1/05/2011,2011,2233,116,Ainol mini NOVO5 Basic,40664,Ainol,0.124973296,0.125838031,0.299680654,0.237410072,0.284552846,0.222222222,0.063233966,0.339699864,0.144672131,0.049145103,0.04425914,0.021304841,0.022413793,0.358909642
Ainol NOVO8 Advanced,1/09/2011,2012,2371,116,Ainol NOVO8 Advanced,40787,Ainol,0.249977111,0.125838031,0.499771896,0.45323741,0.479674797,0.365079365,0.17511937,0.566166439,0.327868852,0.18562834,0.060295061,0.082178875,0.097413793,0.359414437
Ainol NOVO7 Advanced,1/12/2011,2012,2511,116,Ainol NOVO7 Advanced,40878,Ainol,0.249977111,0.125838031,0.749885948,0.381294964,0.284552846,0.222222222,0.063233966,0.492496589,0.258196721,0.127161004,0.031430404,0.039890371,0.063577586,0.22387683
Ainol NOVO7 Basic,1/12/2011,2012,2512,116,Ainol NOVO7 Basic,40878,Ainol,0.249977111,0.125838031,0.499771896,0.381294964,0.284552846,0.222222222,0.063233966,0.492496589,0.258196721,0.127161004,0.031430404,0.039890371,0.063577586,0.22387683
Airis NC05 / NC05A,1/01/2004,2004,367,4,Airis NC05 / NC05A,37987,Airis,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.008130081,0.173260573,0.319672131,0.055386577,0.089159718,0.028627711,0.018534483,0.17617365
Airis T900,1/01/2004,2004,368,4,Airis T900,37987,Airis,0.031220435,0.000523305,0.149612223,0.129496403,0.089430894,0.103174603,0.009226997,0.358253752,0.094180328,0.033740456,0.125721616,0.045136287,0.037068966,0.17617365
Airis N509,1/02/2004,2004,382,4,Airis N509,38018,Airis,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.008130081,0.172169168,0.26147541,0.045018004,0.065426555,0.017964585,0.01875,0.17617365
Airis T470i,1/06/2005,2005,554,4,Airis T470i,38504,Airis,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.008130081,0.147885402,0.256967213,0.0380017,0.101988454,0.022503908,0.023706897,0.244068652
Airis T605,1/04/2006,2006,731,4,Airis T605,38808,Airis,0.031220435,0.001047635,0.15561496,0.129496403,0.056910569,0.142857143,0.008130081,0.175989086,0.286885246,0.050488672,0.073765234,0.022396848,0.023706897,0.17617365
Airis T920 / T920E,1/07/2006,2007,779,4,Airis T920 / T920E,38899,Airis,0.031220435,0.001047635,0.145610398,0.129496403,0.089430894,0.103174603,0.009226997,0.275579809,0.086065574,0.023717934,0.089159718,0.022782262,0.028017241,0.17617365
Airis T470 / T470E,1/10/2006,2007,841,4,Airis T470 / T470E,38991,Airis,0.031220435,0.002096294,0.100089641,0.014388489,0.030894309,0.093253968,0.002881017,0.105047749,0.237704918,0.024970367,0.063502245,0.007044515,0.007974138,0.256436143
Airis T610,1/10/2006,2007,842,4,Airis T610,38991,Airis,0.031220435,0.002096294,0.149612223,0.129496403,0.056910569,0.142857143,0.008130081,0.178717599,0.27295082,0.048781115,0.075048108,0.022289789,0.023706897,0.17617365
Airis T620,1/10/2006,2007,843,4,Airis T620,38991,Airis,0.031220435,0.002096294,0.199635034,0.129496403,0.056910569,0.142857143,0.008130081,0.178717599,0.31147541,0.055666137,0.075048108,0.024859217,0.023706897,0.17617365
Airis T480 / T480E,1/06/2007,2007,1024,4,Airis T480 / T480E,39234,Airis,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.008130081,0.145975443,0.241803279,0.035297341,0.073765234,0.014966919,0.016163793,0.244068652
Airis T940E / T940I / T940EI,1/02/2008,2008,1234,4,Airis T940E / T940I / T940EI,39479,Airis,0.031220435,0.016777517,0.199635034,0.18705036,0.154471545,0.119047619,0.01838947,0.358799454,0.151639344,0.054408114,0.101347017,0.046206882,0.032327586,0.21251893
Airis T940T / T940T1 / T940T2,1/02/2008,2008,1235,4,Airis T940T / T940T1 / T940T2,39479,Airis,0.031220435,0.016777517,0.199635034,0.18705036,0.154471545,0.119047619,0.01838947,0.358799454,0.151639344,0.054408114,0.101347017,0.046206882,0.032327586,0.21251893
Airis T482 (SIM N3),1/04/2008,2008,1276,4,Airis T482 (SIM N3),39539,Airis,0.031220435,0.002096294,0.207638683,0.107913669,0.056910569,0.142857143,0.008130081,0.151432469,0.31147541,0.04716749,0.050673509,0.013789264,0.02262931,0.204442201
Airis T483 / T483L,1/10/2008,2009,1432,4,Airis T483 / T483L,39722,Airis,0.062471389,0.004193611,0.311686129,0.107913669,0.056910569,0.142857143,0.008130081,0.166439291,0.299180328,0.049795362,0.073765234,0.021583196,0.023275862,0.204442201
Airo A25,1/10/2007,2008,1119,5,Airo A25,39356,Airo,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.168485675,0.387295082,0.065253673,0.116741501,0.041517676,0.037715517,0.244068652
Alcatel One Touch OT-S988W (Geeksphone One),1/06/2010,2010,1920,6,Alcatel One Touch OT-S988W (Geeksphone One),40330,Alcatel,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.010388437,0.132332879,0.25,0.03308322,0.057729314,0.010127829,0.013793103,0.257193337
Alcatel One Touch OT-980A,1/09/2010,2011,2017,6,Alcatel One Touch OT-980A,40422,Alcatel,0.124973296,0.008388246,0.299680654,0.079136691,0.056910569,0.142857143,0.008130081,0.147066849,0.260245902,0.038273545,0.062860808,0.013682205,0.014008621,0.249116608
Alcatel One Touch OT-981A,1/09/2010,2011,2018,6,Alcatel One Touch OT-981A,40422,Alcatel,0.124973296,0.008388246,0.299680654,0.079136691,0.056910569,0.142857143,0.008130081,0.147066849,0.260245902,0.038273545,0.062860808,0.013682205,0.014008621,0.249116608
Alcatel One Touch OT-890,1/03/2011,2011,2185,6,Alcatel One Touch OT-890,40603,Alcatel,0.124973296,0.008388246,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.140518417,0.25,0.035129604,0.041372675,0.007708284,0.008771552,0.249116608
Alcatel One Touch OT-890D,1/05/2011,2011,2234,6,Alcatel One Touch OT-890D,40664,Alcatel,0.124973296,0.008388246,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.140518417,0.25,0.035129604,0.041372675,0.007708284,0.008771552,0.249116608
Alcatel One Touch OT-990A,1/06/2011,2011,2272,6,Alcatel One Touch OT-990A,40695,Alcatel,0.249977111,0.008388246,0.299680654,0.129496403,0.089430894,0.222222222,0.019873532,0.151978172,0.274590164,0.041731711,0.038806928,0.009335589,0.018103448,0.30338213
Alcatel One Touch OT-906,1/07/2011,2012,2307,6,Alcatel One Touch OT-906,40725,Alcatel,0.124973296,0.008388246,0.249657844,0.079136691,0.056910569,0.142857143,0.008130081,0.137789905,0.247131148,0.034052177,0.050673509,0.009228529,0.009267241,0.249116608
Alcatel One Touch OT-891 Soul,1/08/2011,2012,2332,6,Alcatel One Touch OT-891 Soul,40756,Alcatel,0.124973296,0.008388246,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.140518417,0.229508197,0.032250129,0.041693393,0.00698028,0.009051724,0.249116608
Alcatel One Touch OT-908,1/08/2011,2012,2333,6,Alcatel One Touch OT-908,40756,Alcatel,0.249977111,0.008388246,0.299680654,0.079136691,0.056910569,0.142857143,0.008130081,0.13888131,0.259836066,0.036086373,0.040731238,0.007751108,0.012931034,0.249116608
Alcatel One Touch OT-990 / OT-990M,1/08/2011,2012,2334,6,Alcatel One Touch OT-990 / OT-990M,40756,Alcatel,0.249977111,0.008388246,0.299680654,0.129496403,0.089430894,0.222222222,0.019873532,0.151978172,0.274590164,0.041731711,0.038806928,0.009335589,0.018103448,0.30338213
Alcatel One Touch OT-909S / OT-909A,1/12/2011,2012,2513,6,Alcatel One Touch OT-909S / OT-909A,40878,Alcatel,0.124973296,0.008388246,0.299680654,0.079136691,0.056910569,0.142857143,0.008130081,0.140518417,0.286885246,0.040312661,0.04041052,0.008885939,0.009698276,0.249116608
Alcatel One Touch OT-918,1/12/2011,2012,2514,6,Alcatel One Touch OT-918,40878,Alcatel,0.124973296,0.008388246,0.32469206,0.107913669,0.089430894,0.222222222,0.019873532,0.287858117,0.039344262,0.011325565,0.038486209,0.013682205,0.013577586,0.249116608
Alcatel One Touch OT-910,1/01/2012,2012,2559,6,Alcatel One Touch OT-910,40909,Alcatel,0.124973296,0.008388246,0.299680654,0.079136691,0.056910569,0.142857143,0.008130081,0.140518417,0.286885246,0.040312661,0.040602951,0.008136522,0.012931034,0.249116608
Alcatel One Touch OT-908F,1/02/2012,2012,2580,6,Alcatel One Touch OT-908F,40940,Alcatel,0.249977111,0.008388246,0.299680654,0.079136691,0.056910569,0.142857143,0.008130081,0.13888131,0.259836066,0.036086373,0.040731238,0.007751108,0.012931034,0.249116608
Alcatel One Touch OT-995,1/03/2012,2012,2613,6,Alcatel One Touch OT-995,40969,Alcatel,0.249977111,0.031878203,0.699863138,0.18705036,0.154471545,0.380952381,0.058846303,0.167803547,0.319672131,0.053642117,0.023412444,0.008586172,0.013793103,0.436648157
